Name,Career,FirstFight,Age,Wins,Losses,Base,SAM,Champ
Myles Jury,5,19,24,12,0,MMA,0.72,0
Fedor Emilianenko,12,23,35,34,4,Sambo,1,1
Chael Sonnen,11.25,25,36.25,27,13,Wrestling,1.05,0
Gegard Mousasi,10.25,17,27.25,34,2,Judo,1.08,1
Phil Davis,4.75,24,28.75,11,1,Wrestling,1.08,0
Roger Gracie,6.5,25,31.5,6,1,BJJ,1.14,0
Chad Mendes,4.75,23,27.75,14,1,Wrestling,1.18,0
Georges St-Pierre,11.5,20,31.5,24,2,Wrestling,1.23,1
Khabib Nurmagomedov,4.75,20,24.75,20,0,Sambo,1.23,0
Shinya Aoki,9.75,20,29.75,33,6,BJJ,1.25,1
Matt Hughes,13.75,24,37.75,45,9,Wrestling,1.36,1
Daniel Cormier,3.75,30,33.75,12,0,Wrestling,1.39,0
Lyoto Machida,10,24,34,19,3,Karate,1.41,1
Anthony Pettis,6.5,20,26.5,16,2,Muay Thai,1.41,1
Dong Hyun Kim,9.25,22,31.25,17,2,Judo,1.42,0
Anderson Silva,16,22,38,33,4,Muay Thai,1.43,1
Jon Jones,5.25,20,25.25,18,1,Wrestling,1.44,1
Tim Kennedy,11.75,22,33.75,15,4,MMA,1.46,0
Francis Carmont,9.5,22,31.5,21,7,Submission Wrestling,1.51,0
Randy Couture,14,33,47,19,11,Wrestling,1.53,1
Ryan Bader,6.25,23,29.25,15,3,Wrestling,1.54,0
Benson Henderson,6.75,23,29.75,19,2,Wrestling,1.56,1
Cain Velasquez,6.75,24,30.75,12,1,Wrestling,1.56,1
Tatsuya Kawajiri,13.25,21,34.25,32,7,Wrestling,1.58,0
Iuri Alcantara,9.75,23,32.75,28,4,BJJ,1.6,0
Rani Yahya,10.75,17,27.75,18,7,BJJ,1.61,0
Josh Barnett,16.5,19,35.5,32,6,Submission Wrestling,1.63,1
Alistair Overeem,13.75,19,32.75,36,12,MMA,1.64,1
Anthony Johnson,6.75,22,28.75,15,4,Wrestling,1.64,0
Luke Rockhold,6,23,29,10,2,BJJ,1.69,0
Demian Maia,7.75,28,35.75,18,4,BJJ,1.75,0
Raphael Assuncao,9.5,21,30.5,20,4,BJJ,1.76,0
Jake Ellenberger,8.5,20,28.5,29,6,Wrestling,1.77,0
Antonio Rogerio Nogueira,11.75,25,36.75,21,5,BJJ,1.83,1
Hayato Sakurai,16.25,21,37.25,37,12,Wrestling,1.83,1
Josh Thomson,12.5,22,34.5,20,5,Wrestling,1.83,1
Fabricio Werdum,11,24,35,17,5,BJJ,1.86,1
Miguel Torres,13.25,19,32.25,40,6,BJJ,1.86,1
Hatsu Hioki,10.75,19,29.75,26,6,BJJ,1.89,0
Jose Aldo,9,17,26,22,1,BJJ,1.91,1
Jake Shields,13.75,20,33.75,28,6,Wrestling,1.91,0
Ricardo Lamas,5.5,25,30.5,13,2,Wrestling,1.91,0
Mirko Filipovic,11.5,26,37.5,28,10,Kickboxing,1.92,1
Nate Marquardt,14.25,20,34.25,32,12,BJJ,1.94,0
